,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,host_is_superhost,property_type,bedrooms,beds,guests_included,review_scores_rating,instant_bookable,bathrooms,security_deposit,cleaning_fee,len_amenities
1719,16454991,Super convenient Chinatown,2519362,Momoca,Central Region,Outram,1.28359,103.84366999999999,Entire home/apt,101,7,0,0.0,1,0,f,Apartment,1.0,1.0,1,0.0,f,1.0,0.0,0.0,9
1720,16460492,Luxury 2 BR Home above MRT in Chinatown #16 (市区公寓),107501827,Mich,Central Region,Outram,1.27965,103.8404,Entire home/apt,240,3,54,1.27,9,71,t,Serviced apartment,2.0,2.0,3,96.0,f,2.0,300.0,80.0,43
1721,16495388,Private room in a cozy apartment,28599355,Harry,Central Region,Bukit Merah,1.27505,103.83596999999999,Private room,88,2,0,0.0,1,88,f,Apartment,1.0,1.0,1,0.0,f,1.0,0.0,0.0,17
1722,16499872,Master room,70824123,Jamila,Central Region,Queenstown,1.29304,103.80709,Private room,70,1,1,0.25,1,365,f,Apartment,1.0,1.0,1,0.0,t,1.0,0.0,10.0,15
1723,16502098,Cheap Private Rm in Cosy Home!,108417270,Nargis,East Region,Bedok,1.31798,103.91190999999999,Private room,45,1,141,3.65,3,178,f,House,0.0,2.0,1,91.0,f,2.0,0.0,0.0,13
1724,16503238,Clean and cosy condominium near Hillview Station,36773968,Winnie,West Region,Bukit Batok,1.3618299999999999,103.76424,Private room,45,90,1,0.06,1,363,f,Condominium,1.0,1.0,1,80.0,f,1.0,0.0,0.0,25
1725,16504076,prewar cosy window rm near farrer park citysq mall,97878860,Chelsey,Central Region,Kallang,1.3124,103.85788000000001,Private room,33,18,0,0.0,81,357,f,Apartment,1.0,1.0,1,0.0,t,2.0,0.0,15.0,30
1727,16519375,"two cozy,spacious rooms",108476315,Jing,Central Region,River Valley,1.2971,103.83958,Private room,54,3,7,0.39,1,365,f,Apartment,2.0,2.0,1,83.0,t,1.5,0.0,0.0,27
1728,16519829,"PrivateRoom@City Ctr, FarrerParkMRT,Little India",47866620,Nanda,Central Region,Kallang,1.31565,103.85338,Private room,60,2,48,1.21,14,0,f,Townhouse,1.0,2.0,2,87.0,f,1.5,0.0,10.0,22
1729,16521063,Lovely Cosy Room,28142522,Apple,North-East Region,Sengkang,1.3806399999999999,103.90033000000001,Private room,50,180,6,0.14,1,0,f,Condominium,1.0,2.0,1,92.0,f,1.0,0.0,10.0,18
1730,16522880,Clean Dorms - Steps from Chinatown MRT! (per bed),100353323,Royal,Central Region,Outram,1.2847,103.84302,Hotel room,28,1,17,0.4,8,180,f,Hostel,1.0,12.0,1,85.0,t,6.0,0.0,0.0,22
1731,16524551,Female Dorms - Unbeatable Location in Chinatown!,100353323,Royal,Central Region,Outram,1.2835299999999998,103.84432,Hotel room,29,1,11,0.26,8,180,f,Hostel,1.0,10.0,1,95.0,t,6.0,0.0,0.0,22
1733,16537151,Beautiful Home in the West,30622760,Jonathan,West Region,Clementi,1.3234700000000001,103.76226,Entire home/apt,349,7,0,0.0,1,364,f,Apartment,1.0,1.0,1,0.0,t,1.0,0.0,50.0,11
1734,16546964,Comfortable and Convenient home for Short Visit,37283440,Daniel,North-East Region,Hougang,1.36049,103.88457,Private room,70,1,2,0.05,1,0,f,Apartment,1.0,1.0,2,100.0,f,1.0,500.0,45.0,20
1735,16552273,1960s Queenbed RmAd* @ lavender bugis,8948251,Joey,Central Region,Kallang,1.30965,103.86129,Private room,36,18,1,0.05,106,357,f,Apartment,1.0,0.0,1,100.0,t,3.0,0.0,15.0,32
1736,16565237,Great Location Cozy Studio Apt /WIFI@ Orchard Area,61619807,Ong,Central Region,Orchard,1.29999,103.83991,Entire home/apt,130,6,95,2.32,38,349,f,Apartment,1.0,2.0,2,89.0,t,1.0,150.0,0.0,35
1737,16565287,"1+ Stay in City Center, next to MRT",47866620,Nanda,Central Region,Kallang,1.31564,103.85455999999999,Private room,57,2,77,1.85,14,271,f,Townhouse,1.0,1.0,1,89.0,f,1.0,0.0,10.0,21
1738,16568254,Boon Lay jurong point豪华公寓主人房suit room for rent,109142490,Sandy,West Region,Jurong West,1.3392700000000002,103.70404,Private room,89,3,8,0.21,3,364,f,Apartment,1.0,1.0,1,100.0,f,1.0,0.0,20.0,25
1739,16578060,Central Studio Apt /WIFI @ Orchard /Somerset Area,61619807,Ong,Central Region,River Valley,1.29661,103.83932,Entire home/apt,105,6,146,3.47,38,351,f,Apartment,1.0,1.0,2,87.0,t,1.0,145.0,0.0,35
1740,16578603,Cosy single bedroom in Yishun SGP,63207270,Jiaquan,North Region,Yishun,1.41608,103.83783000000001,Private room,21,365,2,0.05,1,0,f,Apartment,1.0,1.0,1,0.0,t,1.0,500.0,0.0,8
